district,market_name,crop_type,date,season,modal_price,min_price,max_price,price_prev_day,avg_price_7d,avg_price_30d,quantity_arrived_kg,weather_event,transport_strike,import_arrival
Ernakulam,Perumbavoor,Tomato,2025-01-01,Rabi,30.99,28.53,34.09,30.78,30.97,31.52,11297,Rain,0,1
Thiruvananthapuram,Neyyattinkara,Banana,2025-01-02,Rabi,33.53,30.85,37.22,35.9,35.15,33.53,13627,None,0,0
Malappuram,Tirur,Tomato,2025-01-03,Rabi,29.07,26.34,31.83,28.37,30.36,28.09,6825,None,0,0
Ernakulam,Perumbavoor,Paddy,2025-01-04,Rabi,19.88,17.58,23.09,18.36,21.47,20.09,7763,None,0,0
Ernakulam,Perumbavoor,Tomato,2025-01-05,Rabi,32.93,30.87,35.09,32.59,30.1,28.58,10366,None,0,1
Thiruvananthapuram,Neyyattinkara,Banana,2025-01-06,Rabi,34.22,31.72,36.89,32.49,34.56,33.4,11124,None,0,0
Kollam,Kottarakkara,Onion,2025-01-07,Rabi,38.8,36.64,41.59,41.58,39.98,38.94,14467,Drought,0,1
Palakkad,Alathur,Paddy,2025-01-08,Rabi,11.13,7.35,13.85,11.44,18.06,19.67,12590,Rain,0,0
Kozhikode,Vadakara,Banana,2025-01-09,Rabi,35.48,33.41,38.41,35.74,33.83,33.7,7564,Rain,0,0
Kollam,Kottarakkara,Paddy,2025-01-10,Rabi,19.56,17.35,21.62,18.87,22.59,21.34,6710,None,0,0
Kozhikode,Vadakara,Paddy,2025-01-11,Rabi,21.65,19.09,24.17,21.07,19.98,21.61,15092,Flood,0,0
Kollam,Kottarakkara,Banana,2025-01-12,Rabi,35.86,32.81,38.37,34.6,33.54,34.33,14926,Flood,0,0
Ernakulam,Perumbavoor,Paddy,2025-01-13,Rabi,20.04,17.37,23.53,19.76,19.34,19.8,14437,Drought,0,0
Kozhikode,Vadakara,Banana,2025-01-14,Rabi,36.71,34.42,39.16,36.6,35.51,34.36,10064,Drought,0,0
Kozhikode,Vadakara,Banana,2025-01-15,Rabi,34.72,31.91,37.64,37.03,33.95,35.56,4140,Rain,0,0
Kozhikode,Vadakara,Paddy,2025-01-16,Rabi,38.49,36.41,41.91,38.62,20.55,21.09,6037,Flood,1,0
Thrissur,Chalakudy,Paddy,2025-01-17,Rabi,20.56,18.41,24.13,21.1,23.22,20.48,9574,Flood,0,0
Ernakulam,Perumbavoor,Tomato,2025-01-18,Rabi,29.0,25.23,32.9,30.37,30.49,29.47,13539,Flood,1,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-01-19,Rabi,40.19,36.43,42.57,41.64,38.95,39.67,10823,Drought,0,0
Palakkad,Alathur,Onion,2025-01-20,Rabi,37.07,33.28,40.59,37.51,40.39,40.01,11296,Rain,0,1
Thrissur,Chalakudy,Paddy,2025-01-21,Rabi,18.17,15.84,22.13,17.54,20.49,20.2,11516,None,0,0
Malappuram,Tirur,Onion,2025-01-22,Rabi,40.81,38.13,43.94,43.64,40.26,40.26,11776,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-01-23,Rabi,30.16,27.09,33.04,30.12,34.09,36.46,11422,None,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-01-24,Rabi,34.6,32.55,38.12,34.55,32.25,35.14,14255,None,0,0
Kollam,Kottarakkara,Paddy,2025-01-25,Rabi,22.58,20.19,24.92,21.22,23.1,19.6,13760,None,0,0
Malappuram,Tirur,Banana,2025-01-26,Rabi,38.38,35.2,42.09,36.89,33.15,34.1,10489,Rain,0,0
Thrissur,Chalakudy,Paddy,2025-01-27,Rabi,17.9,15.2,21.37,18.0,19.41,21.47,9241,Drought,0,0
Ernakulam,Perumbavoor,Banana,2025-01-28,Rabi,37.1,34.2,41.1,35.93,33.52,34.81,8307,Flood,1,0
Thrissur,Chalakudy,Onion,2025-01-29,Rabi,40.45,36.78,44.4,42.41,37.59,40.18,12779,None,0,1
Ernakulam,Perumbavoor,Tomato,2025-01-30,Rabi,31.56,27.61,34.62,29.7,28.02,30.52,12890,Flood,1,0
Kozhikode,Vadakara,Paddy,2025-01-31,Rabi,21.5,19.17,24.36,22.02,19.98,21.23,12879,None,0,0
Palakkad,Alathur,Banana,2025-02-01,Rabi,32.57,29.78,34.65,35.37,34.71,32.81,13969,Flood,1,0
Palakkad,Alathur,Tomato,2025-02-02,Rabi,28.05,24.59,30.12,29.23,31.74,29.18,14890,Rain,0,0
Ernakulam,Perumbavoor,Onion,2025-02-03,Rabi,40.83,38.54,42.85,42.06,42.85,39.75,9738,Rain,0,1
Thrissur,Chalakudy,Banana,2025-02-04,Rabi,32.22,29.8,35.42,31.0,33.88,34.34,12830,None,0,0
Thrissur,Chalakudy,Paddy,2025-02-05,Rabi,22.65,20.36,25.95,22.67,23.18,20.74,20160,None,0,0
Palakkad,Alathur,Onion,2025-02-06,Rabi,41.25,38.86,43.88,39.96,38.39,40.48,11329,Flood,1,0
Ernakulam,Perumbavoor,Paddy,2025-02-07,Rabi,22.43,20.29,25.57,23.14,20.89,20.15,7455,Drought,0,0
Kozhikode,Vadakara,Paddy,2025-02-08,Rabi,20.11,17.44,23.09,21.39,21.32,19.75,12519,Rain,0,0
Malappuram,Tirur,Banana,2025-02-09,Rabi,34.77,32.18,38.45,33.44,34.23,34.06,8571,None,0,0
Ernakulam,Perumbavoor,Tomato,2025-02-10,Rabi,30.72,28.11,33.44,31.56,31.62,31.05,7866,Rain,0,0
Malappuram,Tirur,Paddy,2025-02-11,Rabi,19.12,16.41,21.6,19.89,21.77,21.52,23558,Rain,0,0
Ernakulam,Perumbavoor,Tomato,2025-02-12,Rabi,31.14,27.79,33.77,32.84,31.43,30.65,11054,Flood,0,1
Ernakulam,Perumbavoor,Paddy,2025-02-13,Rabi,22.52,19.62,24.95,21.36,20.64,20.51,12245,None,0,0
Malappuram,Tirur,Paddy,2025-02-14,Rabi,25.63,23.16,27.88,22.83,22.03,19.39,10584,Flood,1,0
Malappuram,Tirur,Onion,2025-02-15,Rabi,42.18,38.87,45.82,42.28,38.38,39.28,14038,Drought,0,0
Kollam,Kottarakkara,Banana,2025-02-16,Rabi,16.27,14.04,20.14,16.59,34.07,33.35,18431,Drought,0,0
Palakkad,Alathur,Paddy,2025-02-17,Rabi,22.27,19.7,25.22,19.23,21.28,20.34,14557,Flood,1,0
Palakkad,Alathur,Banana,2025-02-18,Rabi,32.41,29.77,36.21,32.24,34.76,34.87,8399,None,0,0
Ernakulam,Perumbavoor,Tomato,2025-02-19,Rabi,29.33,26.12,32.57,28.62,29.02,31.77,13214,Flood,0,1
Malappuram,Tirur,Onion,2025-02-20,Rabi,37.48,33.87,39.58,38.86,43.18,41.03,7441,None,0,0
Thrissur,Chalakudy,Onion,2025-02-21,Rabi,39.03,36.45,42.83,40.93,38.94,40.44,14323,Rain,0,0
Ernakulam,Perumbavoor,Paddy,2025-02-22,Rabi,19.15,16.53,21.57,19.06,16.14,19.98,11242,None,0,0
Palakkad,Alathur,Tomato,2025-02-23,Rabi,27.5,24.17,30.52,29.95,27.85,29.56,12392,None,0,1
Kollam,Kottarakkara,Banana,2025-02-24,Rabi,36.88,34.72,38.95,34.73,35.74,34.01,9055,Flood,1,0
Thrissur,Chalakudy,Onion,2025-02-25,Rabi,40.92,38.77,43.23,41.22,39.1,40.07,10844,Drought,0,0
Kollam,Kottarakkara,Paddy,2025-02-26,Rabi,21.23,18.06,24.05,22.22,23.38,19.76,18399,Drought,0,0
Malappuram,Tirur,Paddy,2025-02-27,Rabi,17.1,13.66,21.0,16.87,21.88,21.28,10131,None,0,0
Kozhikode,Vadakara,Onion,2025-02-28,Rabi,39.58,35.94,42.04,38.84,39.12,40.85,13071,None,0,1
Thiruvananthapuram,Neyyattinkara,Banana,2025-03-01,Rabi,32.61,30.54,36.03,33.96,34.46,34.81,13888,None,0,0
Kozhikode,Vadakara,Tomato,2025-03-02,Rabi,28.34,26.22,31.05,27.5,31.12,30.61,11937,None,0,0
Kozhikode,Vadakara,Banana,2025-03-03,Rabi,34.23,31.13,36.39,36.15,33.11,34.55,11393,Flood,0,0
Kozhikode,Vadakara,Paddy,2025-03-04,Rabi,20.56,17.4,23.6,22.21,22.24,21.81,15916,Rain,0,0
Kozhikode,Vadakara,Paddy,2025-03-05,Rabi,21.04,18.56,24.18,22.06,20.53,21.32,11609,Flood,1,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-03-06,Rabi,34.19,30.66,37.43,35.08,32.77,36.09,8981,Drought,0,0
Palakkad,Alathur,Tomato,2025-03-07,Rabi,27.57,25.06,30.82,29.31,31.19,30.62,13885,Drought,0,1
Thrissur,Chalakudy,Tomato,2025-03-08,Rabi,29.98,27.09,32.82,28.63,30.11,29.32,14925,Drought,0,0
Thrissur,Chalakudy,Paddy,2025-03-09,Rabi,20.71,18.14,23.16,19.47,20.52,21.41,10308,Drought,0,0
Kollam,Kottarakkara,Tomato,2025-03-10,Rabi,28.36,25.06,30.92,28.73,30.37,29.49,10586,Drought,0,1
Kollam,Kottarakkara,Paddy,2025-03-11,Rabi,21.46,19.29,25.45,19.29,18.89,20.28,11359,Flood,0,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-03-12,Rabi,40.62,38.58,44.45,42.83,41.29,39.84,11942,Rain,0,1
Malappuram,Tirur,Paddy,2025-03-13,Rabi,18.99,16.8,21.07,18.96,20.57,21.32,9518,Flood,0,0
Kollam,Kottarakkara,Tomato,2025-03-14,Rabi,31.04,27.35,34.88,33.34,29.84,30.4,14070,Flood,1,0
